"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue"
"1","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:9 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"2","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:10 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"3","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:11 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","true","2470600","0","false","N/A","N/A","N/A","N/A"
"4","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:12 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","false","2647000","0","false","java.lang.AssertionError","expected:<10> but was:<20>","10","20"
"5","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:13 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"6","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:14 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"7","1","| gin.edit.statement.DeleteStatement .\examples\unittests\mypackage\Example.java:11 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"8","1","| gin.edit.statement.DeleteStatement .\examples\unittests\mypackage\Example.java:12 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"9","1","| gin.edit.statement.DeleteStatement .\examples\unittests\mypackage\Example.java:18 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","true","2736800","0","false","N/A","N/A","N/A","N/A"
"10","1","| gin.edit.statement.DeleteStatement .\examples\unittests\mypackage\Example.java:23 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","false","2143000","0","false","java.lang.AssertionError","expected:<10> but was:<20>","10","20"
"11","1","| gin.edit.statement.DeleteStatement .\examples\unittests\mypackage\Example.java:28 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
