"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue"
"1","2","| gin.edit.line.SwapLine .\examples\unittests\mypackage\Example.java:14 <-> .\examples\unittests\mypackage\Example.java:12 | gin.edit.line.ReplaceLine .\examples\unittests\mypackage\Example.java:11 -> .\examples\unittests\mypackage\Example.java:14 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"2","2","| gin.edit.line.ReplaceLine .\examples\unittests\mypackage\Example.java:5 -> .\examples\unittests\mypackage\Example.java:14 | gin.edit.line.ReplaceLine .\examples\unittests\mypackage\Example.java:9 -> .\examples\unittests\mypackage\Example.java:14 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"3","2","| gin.edit.line.SwapLine .\examples\unittests\mypackage\Example.java:12 <-> .\examples\unittests\mypackage\Example.java:9 | gin.edit.line.SwapLine .\examples\unittests\mypackage\Example.java:14 <-> .\examples\unittests\mypackage\Example.java:13 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"4","1","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:10 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"5","1","| gin.edit.line.SwapLine .\examples\unittests\mypackage\Example.java:9 <-> .\examples\unittests\mypackage\Example.java:12 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"6","2","| gin.edit.line.CopyLine .\examples\unittests\mypackage\Example.java:3 -> .\examples\unittests\mypackage\Example.java:13 | gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:13 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","true","2711500","0","false","N/A","N/A","N/A","N/A"
"7","1","| gin.edit.line.CopyLine .\examples\unittests\mypackage\Example.java:1 -> .\examples\unittests\mypackage\Example.java:13 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"8","1","| gin.edit.line.CopyLine .\examples\unittests\mypackage\Example.java:14 -> .\examples\unittests\mypackage\Example.java:11 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
"9","1","| gin.edit.line.ReplaceLine .\examples\unittests\mypackage\Example.java:12 -> .\examples\unittests\mypackage\Example.java:12 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","true","2668900","0","false","N/A","N/A","N/A","N/A"
"10","2","| gin.edit.line.DeleteLine .\examples\unittests\mypackage\Example.java:14 | gin.edit.line.CopyLine .\examples\unittests\mypackage\Example.java:12 -> .\examples\unittests\mypackage\Example.java:9 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A"
