"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","4","22","0.5","14255","21","99","86","88","86","78","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","3","22","0.5","14255","21","49","71","50","71","50","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33:34 |","true","true","2509110","35.323715"
"3","locogp.SortBubble","WEAKMUTATION","2","22","0.5","14255","21","48","71","50","71","17","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","6090970","22.122108"
"4","locogp.SortBubble","WEAKMUTATION","1","22","0.5","14255","21","45","43","38","43","76","|","false","true","0","0.0"
"5","locogp.SortBubble","WEAKMUTATION","4","21","0.5","16162","1","99","86","88","86","85","|","false","true","0","0.0"
"6","locogp.SortBubble","WEAKMUTATION","3","21","0.5","16162","1","97","86","88","86","14","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","true","2197900","50.2868"
"7","locogp.SortBubble","WEAKMUTATION","2","21","0.5","16162","1","96","86","88","86","15","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:18 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","10184470","7.303685"
"8","locogp.SortBubble","WEAKMUTATION","1","21","0.5","16162","1","93","57","75","57","41","|","false","true","0","0.0"
"9","locogp.SortBubble","BRANCH","4","15","0.0","7847","7","90","100","100","100","36","|","false","true","0","0.0"
"10","locogp.SortBubble","BRANCH","3","15","0.0","7847","7","46","86","62","86","79","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 -> examples\locoGP\src\main\java\locogp\SortBubble.java:66 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","88863570","73.65557"
"11","locogp.SortBubble","BRANCH","2","15","0.0","7847","7","46","71","50","71","76","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 -> examples\locoGP\src\main\java\locogp\SortBubble.java:66 |","true","true","98689610","52.85317"
"12","locogp.SortBubble","BRANCH","1","15","0.0","7847","7","44","43","38","43","1","|","false","true","0","0.0"
"13","locogp.SortBubble","BRANCH","3","13","0.0","8023","85","97","100","100","100","14","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","211676500","34.584766"
"14","locogp.SortBubble","BRANCH","2","13","0.0","8023","85","21","57","50","57","15","|","false","true","0","0.0"
"15","locogp.SortBubble","BRANCH","1","13","0.0","8023","85","0","14","12","14","41","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 -> examples\locoGP\src\main\java\locogp\SortBubble.java:66 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18 |","true","false","224915290","-96.303604"
"16","locogp.SortBubble","BRANCH","1","13","0.0","8023","85","0","14","12","14","7","|","false","true","0","0.0"
"17","locogp.SortBubble","LINE","3","10","0.0","7873","36","89","86","100","86","79","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:34 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","true","110266110","52.459156"
"18","locogp.SortBubble","LINE","2","10","0.0","7873","36","21","57","50","57","76","|","false","true","0","0.0"
"19","locogp.SortBubble","LINE","1","10","0.0","7873","36","0","14","12","14","1","|","false","true","0","0.0"
"20","locogp.SortBubble","LINE","1","10","0.0","7873","36","0","14","12","14","85","|","false","true","0","0.0"
"21","locogp.SortBubble","LINE","3","12","0.0","7938","14","96","100","100","100","15","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","221047040","38.81491"
"22","locogp.SortBubble","LINE","2","12","0.0","7938","14","96","86","88","86","41","|","false","true","0","0.0"
"23","locogp.SortBubble","LINE","1","12","0.0","7938","14","93","57","75","57","7","|","false","true","0","0.0"
"24","locogp.SortBubble","LINE","1","12","0.0","7938","14","93","57","75","57","36","|","false","true","0","0.0"
