"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortInsertion","BRANCH","4","18","0.0","2454","82","100","100","88","100","35","|","false","true","0","0.0"
"2","locogp.SortInsertion","BRANCH","3","18","0.0","2454","82","86","86","88","86","52","|","false","true","0","0.0"
"3","locogp.SortInsertion","BRANCH","2","18","0.0","2454","82","57","71","62","57","71","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:78 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:18 |","true","true","2096044","34.346962"
"4","locogp.SortInsertion","BRANCH","1","18","0.0","2454","82","43","57","61","43","71","|","false","true","0","0.0"
"5","locogp.SortInsertion","BRANCH","3","13","0.0","2314","71","100","100","96","100","71","|","false","true","0","0.0"
"6","locogp.SortInsertion","BRANCH","2","13","0.0","2314","71","86","86","96","86","71","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:77 |","true","true","1330634","13.099553"
"7","locogp.SortInsertion","BRANCH","1","13","0.0","2314","71","71","71","94","71","71","|","false","true","0","0.0"
"8","locogp.SortInsertion","BRANCH","1","13","0.0","2314","71","71","71","94","71","71","|","false","true","0","0.0"
"9","locogp.SortInsertion","LINE","3","12","0.0","2353","71","86","100","93","86","71","|","false","true","0","0.0"
"10","locogp.SortInsertion","LINE","2","12","0.0","2353","71","71","86","91","71","71","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:78 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:92 |","true","false","1558522","55.411522"
"11","locogp.SortInsertion","LINE","1","12","0.0","2353","71","57","71","91","57","71","|","false","true","0","0.0"
"12","locogp.SortInsertion","LINE","1","12","0.0","2353","71","57","71","91","57","71","|","false","true","0","0.0"
"13","locogp.SortInsertion","LINE","3","12","0.0","3368","71","86","100","93","86","71","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:44 <-> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:18 |","true","true","126705612","58.989082"
"14","locogp.SortInsertion","LINE","2","12","0.0","3368","71","71","86","91","71","71","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:43 <-> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:43 |","true","true","1218816","99.31948"
"15","locogp.SortInsertion","LINE","1","12","0.0","3368","71","57","71","91","57","71","|","false","true","0","0.0"
"16","locogp.SortInsertion","LINE","1","12","0.0","3368","71","57","71","91","57","71","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:43 |","true","true","180879991","12.377151"
"17","locogp.SortInsertion","WEAKMUTATION","4","19","0.5","8555","71","86","86","99","86","71","|","false","true","0","0.0"
"18","locogp.SortInsertion","WEAKMUTATION","3","19","0.5","8555","71","57","71","64","57","71","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:77 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:77 |","true","true","797710","99.55504"
"19","locogp.SortInsertion","WEAKMUTATION","2","19","0.5","8555","71","57","71","62","57","71","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:43 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:92 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:43:92 |","true","true","113944188","6.1602244"
"20","locogp.SortInsertion","WEAKMUTATION","1","19","0.5","8555","71","14","29","7","14","71","|","false","true","0","0.0"
"21","locogp.SortInsertion","WEAKMUTATION","4","19","0.5","8730","71","86","86","99","86","71","|","false","true","0","0.0"
"22","locogp.SortInsertion","WEAKMUTATION","3","19","0.5","8730","71","57","71","64","57","71","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:92 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:92 |","true","true","869465","98.50855"
"23","locogp.SortInsertion","WEAKMUTATION","2","19","0.5","8730","71","57","71","62","57","71","|","false","true","0","0.0"
"24","locogp.SortInsertion","WEAKMUTATION","1","19","0.5","8730","71","14","29","7","14","71","|","false","true","0","0.0"
"25","locogp.SortInsertion","CBRANCH","3","13","0.0","3456","71","100","100","96","100","71","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:92 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:18 |","true","true","64508511","46.73604"
"26","locogp.SortInsertion","CBRANCH","2","13","0.0","3456","71","86","86","94","86","71","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:43 |","true","true","122063818","17.827778"
"27","locogp.SortInsertion","CBRANCH","1","13","0.0","3456","71","71","71","94","71","71","|","false","true","0","0.0"
"28","locogp.SortInsertion","CBRANCH","1","13","0.0","3456","71","71","71","94","71","71","|","false","true","0","0.0"
"29","locogp.SortInsertion","CBRANCH","3","13","0.0","3498","71","100","100","96","100","71","|","false","true","0","0.0"
"30","locogp.SortInsertion","CBRANCH","2","13","0.0","3498","71","86","86","94","86","71","|","false","true","0","0.0"
"31","locogp.SortInsertion","CBRANCH","1","13","0.0","3498","71","71","71","94","71","71","|","false","true","0","0.0"
"32","locogp.SortInsertion","CBRANCH","1","13","0.0","3498","71","71","71","94","71","71","|","false","true","0","0.0"
"33","locogp.SortInsertion","MANUAL","","0","0","0",,"86","86","97","86",,"|","false","true","0","0.0"
