"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","EXCEPTION_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","4","19","0.5","15923","0","44","43","38","100","60","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:18 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:51 |","true","false","5215390","-42.338326"
"1","locogp.SortBubble","WEAKMUTATION","3","19","0.5","15923","0","48","71","50","100","60","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:50 |","true","true","3127260","-49.98921"
"1","locogp.SortBubble","WEAKMUTATION","2","19","0.5","15923","0","45","57","50","100","60","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:51 |","true","true","1639640","56.973637"
"1","locogp.SortBubble","WEAKMUTATION","1","19","0.5","15923","0","7","14","25","100","60","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","4","19","0.5","15689","48","99","86","88","100","68","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","5267020","91.31676"
"2","locogp.SortBubble","WEAKMUTATION","3","19","0.5","15689","48","97","86","88","100","68","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 -> examples\locoGP\src\main\java\locogp\SortBubble.java:34 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:66 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33:34 |","true","true","6957420","48.865135"
"2","locogp.SortBubble","WEAKMUTATION","2","19","0.5","15689","48","46","71","50","100","68","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","false","47259250","-2333.7607"
"2","locogp.SortBubble","WEAKMUTATION","1","19","0.5","15689","48","21","43","38","100","68","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:76 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:90 |","true","true","3659090","-97.3928"
"3","locogp.SortBubble","WEAKMUTATION","4","17","0.5","17328","16","99","86","88","100","51","|","false","true","0","0.0"
"3","locogp.SortBubble","WEAKMUTATION","3","17","0.5","17328","16","97","86","88","100","51","|","false","true","0","0.0"
"3","locogp.SortBubble","WEAKMUTATION","2","17","0.5","17328","16","94","57","75","100","51","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","2100810","51.36834"
"3","locogp.SortBubble","WEAKMUTATION","1","17","0.5","17328","16","93","57","75","100","51","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:51 |","true","true","3474010","43.5101"
"4","locogp.SortBubble","BRANCH","4","15","0.0","8220","32","99","86","88","100","77","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:18 |","true","true","6729160","51.67871"
"4","locogp.SortBubble","BRANCH","3","15","0.0","8220","32","46","86","62","100","77","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","2","15","0.0","8220","32","21","57","50","100","77","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 |","true","false","7364740","-11.126133"
"4","locogp.SortBubble","BRANCH","1","15","0.0","8220","32","21","43","38","100","77","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","false","3473070","-0.50264776"
"5","locogp.SortBubble","BRANCH","3","11","0.0","7806","31","90","100","100","100","32","|","false","true","0","0.0"
"5","locogp.SortBubble","BRANCH","2","11","0.0","7806","31","93","71","88","100","32","|","false","true","0","0.0"
"5","locogp.SortBubble","BRANCH","1","11","0.0","7806","31","93","57","75","100","32","|","false","true","0","0.0"
"5","locogp.SortBubble","BRANCH","1","11","0.0","7806","31","93","57","75","100","32","|","false","true","0","0.0"
