"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup","intermediate"
"1","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","11","|","false","true","0","0.0","false"
"2","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","87","|","false","true","0","0.0","false"
"3","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","57","|","false","true","0","0.0","false"
"4","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","52","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:145 |","true","true","748552","44.431934","false"
"5","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","40","|","false","true","0","0.0","false"
"6","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","32","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:26 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:26 |","true","false","1882077","-153.78462","false"
"7","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","21","|","false","true","0","0.0","false"
"8","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","27","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:62 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:62 |","true","true","683554","66.52387","false"
"9","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","85","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:108 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:31 |","true","true","839355","1.0466112","false"
"10","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","66","|","false","true","0","0.0","false"
"11","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","34","|","false","true","0","0.0","false"
"12","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","1","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:145 |","true","true","654982","45.011765","false"
"13","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","69","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:131 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:156 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:145 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130 |","true","false","805105","43.73181","false"
"14","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","35","|","false","true","0","0.0","false"
"15","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","57","|","false","true","0","0.0","false"
"16","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","62","|","false","true","0","0.0","false"
"17","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","0","|","false","true","0","0.0","false"
"18","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","38","|","false","true","0","0.0","false"
"19","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","52","|","false","true","0","0.0","false"
"20","locogp.SortCocktail","BRANCH","3","16","0.0","3562","25","100","100","95","100","False","75","|","false","true","0","0.0","false"
"21","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","20","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:48 |","true","false","1032922","95.5477","false"
"22","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","3","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:103 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:156 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:62:98 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:63 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130:131 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 |","true","false","1313637","-104.23254","false"
"23","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","11","|","false","true","0","0.0","false"
"24","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","49","|","false","true","0","0.0","false"
"25","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","2","|","false","true","0","0.0","false"
"26","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","43","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:131 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130:131 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:107 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 |","true","false","1100270","38.85063","false"
"27","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","51","|","false","true","0","0.0","false"
"28","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","18","|","false","true","0","0.0","false"
"29","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","54","|","false","true","0","0.0","false"
"30","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","6","|","false","true","0","0.0","false"
"31","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","40","|","false","true","0","0.0","false"
"32","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","27","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:108 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:170 |","true","false","784629","82.32125","false"
"33","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","35","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 |","true","false","2513783","43.056343","false"
"34","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","77","|","false","true","0","0.0","false"
"35","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","23","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130:130 |","true","false","2600000","44.303493","false"
"36","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","90","|","false","true","0","0.0","false"
"37","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","85","|","false","true","0","0.0","false"
"38","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","47","|","false","true","0","0.0","false"
"39","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","37","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:170 |","true","false","1040939","33.2926","false"
"40","locogp.SortCocktail","BRANCH","2","16","0.0","3562","25","92","95","95","92","True","37","|","false","true","0","0.0","false"
"41","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","67","|","false","true","0","0.0","false"
"42","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","71","|","false","true","0","0.0","false"
"43","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","47","|","false","true","0","0.0","false"
"44","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","6","|","false","true","0","0.0","false"
"45","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","23","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:109 |","true","false","2252642","4.7859116","false"
"46","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","40","|","false","true","0","0.0","false"
"47","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","46","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:108 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 |","true","false","1501857","-0.7412904","false"
"48","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","91","|","false","true","0","0.0","false"
"49","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","91","|","false","true","0","0.0","false"
"50","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","47","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:26 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:145 |","true","false","1526314","-10.359126","false"
"51","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","94","|","false","true","0","0.0","false"
"52","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","5","|","false","true","0","0.0","false"
"53","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","17","|","false","true","0","0.0","false"
"54","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","79","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:103 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:107:107 |","true","false","1190419","13.415468","false"
"55","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","23","|","false","true","0","0.0","false"
"56","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","54","|","false","true","0","0.0","false"
"57","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","83","|","false","true","0","0.0","false"
"58","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","69","|","false","true","0","0.0","false"
"59","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","5","|","false","true","0","0.0","false"
"60","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","19","|","false","true","0","0.0","false"
"61","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","33","|","false","true","0","0.0","false"
"62","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","67","|","false","true","0","0.0","false"
"63","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","75","|","false","true","0","0.0","false"
"64","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","95","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 |","true","false","2433929","8.094104","false"
"65","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","22","|","false","true","0","0.0","false"
"66","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","78","|","false","true","0","0.0","false"
"67","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","25","|","false","true","0","0.0","false"
"68","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","3","|","false","true","0","0.0","false"
"69","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","62","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47:47 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25:109 |","true","false","1707808","-17.028267","false"
"70","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","14","|","false","true","0","0.0","false"
"71","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","97","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:31 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:103 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:26 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130 |","true","false","1680937","-15.68616","false"
"72","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","84","|","false","true","0","0.0","false"
"73","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","55","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:109 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:19 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25:25 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:98 |","true","false","1713692","-3.3050585","false"
"74","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","89","|","false","true","0","0.0","false"
"75","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","42","|","false","true","0","0.0","false"
"76","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","88","|","false","true","0","0.0","false"
"77","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","89","|","false","true","0","0.0","false"
"78","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","23","|","false","true","0","0.0","false"
"79","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","64","|","false","true","0","0.0","false"
"80","locogp.SortCocktail","BRANCH","1","16","0.0","3562","25","62","68","77","62","True","89","|","false","true","0","0.0","false"
"81","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","75","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:26 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:31 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130:130 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:107 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:156 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:31 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:98 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 |","true","false","774442","89.9083","false"
"82","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","27","|","false","true","0","0.0","false"
"83","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","58","|","false","true","0","0.0","false"
"84","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","30","|","false","true","0","0.0","false"
"85","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","86","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:18 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:18:24 |","true","false","5260093","48.244858","false"
"86","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","70","|","false","true","0","0.0","false"
"87","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","80","|","false","true","0","0.0","false"
"88","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","6","|","false","true","0","0.0","false"
"89","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","13","|","false","true","0","0.0","false"
"90","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","61","|","false","true","0","0.0","false"
"91","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","74","|","false","true","0","0.0","false"
"92","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","98","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:108 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:107 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:103 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130:131 |","true","false","172466835","-228.14633","false"
"93","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","28","|","false","true","0","0.0","false"
"94","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","96","|","false","true","0","0.0","false"
"95","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","9","|","false","true","0","0.0","false"
"96","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","40","|","false","true","0","0.0","false"
"97","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","21","|","false","true","0","0.0","false"
"98","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","39","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:130:130 |","true","false","106182346","3.4532197","false"
"99","locogp.SortCocktail","BRANCH","3","17","0.0","3791","83","100","100","100","100","False","90","|","false","true","0","0.0","false"
