"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortHeap","BRANCH","3","19","0.0","3622","91","100","100","96","100","65","|","false","true","0","0.0"
"2","locogp.SortHeap","BRANCH","2","19","0.0","3622","91","86","82","87","86","20","|","false","true","0","0.0"
"3","locogp.SortHeap","BRANCH","1","19","0.0","3622","91","5","3","0","5","53","|","false","true","0","0.0"
"4","locogp.SortHeap","BRANCH","1","19","0.0","3622","91","5","3","0","5","96","|","false","true","0","0.0"
"5","locogp.SortHeap","BRANCH","3","19","0.0","3088","12","100","100","92","100","66","|","false","true","0","0.0"
"6","locogp.SortHeap","BRANCH","2","19","0.0","3088","12","95","97","92","95","44","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:295 <-> ../examples/locoGP/src/main/java/locogp/SortHeap.java:121 |","true","false","1741579","-160.25435"
"7","locogp.SortHeap","BRANCH","1","19","0.0","3088","12","43","55","68","43","84","|","false","true","0","0.0"
"8","locogp.SortHeap","BRANCH","1","19","0.0","3088","12","43","55","68","43","88","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:74 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:91:92 |","true","true","1120474","97.77552"
"9","locogp.SortHeap","LINE","3","19","0.0","3814","90","100","100","91","100","39","|","false","true","0","0.0"
"10","locogp.SortHeap","LINE","2","19","0.0","3814","90","76","70","65","76","54","|","false","true","0","0.0"
"11","locogp.SortHeap","LINE","1","19","0.0","3814","90","5","3","0","5","19","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:121 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:302:302 |","true","true","109048464","2.5204823"
"12","locogp.SortHeap","LINE","1","19","0.0","3814","90","5","3","0","5","25","|","false","true","0","0.0"
"13","locogp.SortHeap","LINE","3","10","8.428571428571429","5897","81","52","61","74","52","11","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:354 |","true","true","66867596","82.429146"
