"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","0","|","false","true","0","0.0"
"2","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","4","|","false","true","0","0.0"
"3","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","38","|","false","true","0","0.0"
"4","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","70","|","false","true","0","0.0"
"5","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","27","|","false","true","0","0.0"
"6","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","92","|","false","true","0","0.0"
"7","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","28","|","false","true","0","0.0"
"8","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","28","|","false","true","0","0.0"
"9","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","78","|","false","true","0","0.0"
"10","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","80","|","false","true","0","0.0"
"11","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","40","|","false","true","0","0.0"
"12","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","61","|","false","true","0","0.0"
"13","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","15","|","false","true","0","0.0"
"14","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","72","|","false","true","0","0.0"
"15","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","48","|","false","true","0","0.0"
"16","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","40","|","false","true","0","0.0"
"17","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","82","|","false","true","0","0.0"
"18","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","91","|","false","true","0","0.0"
"19","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","97","|","false","true","0","0.0"
"20","locogp.SortSelection2","BRANCH","2","9","0.0","2707","93","100","100","93","100","False","69","|","false","true","0","0.0"
"21","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","68","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:48 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:99 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:90 |","true","false","1422474","93.51691"
"22","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","16","|","false","true","0","0.0"
"23","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","31","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:90 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:48 |","true","false","2115213","-186.54236"
"24","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","44","|","false","true","0","0.0"
"25","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","77","|","false","true","0","0.0"
"26","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","11","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:48 |","true","false","2833165","-300.4776"
"27","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","22","|","false","true","0","0.0"
"28","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","0","|","false","true","0","0.0"
"29","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","87","|","false","true","0","0.0"
"30","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","94","|","false","true","0","0.0"
"31","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","83","|","false","true","0","0.0"
"32","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","3","|","false","true","0","0.0"
"33","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","40","|","false","true","0","0.0"
"34","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","4","|","false","true","0","0.0"
"35","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","62","|","false","true","0","0.0"
"36","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","72","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:72 |","true","false","816589","35.87144"
"37","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","69","|","false","true","0","0.0"
"38","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","84","|","false","true","0","0.0"
"39","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","26","|","false","true","0","0.0"
"40","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","82","|","false","true","0","0.0"
"41","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","25","|","false","true","0","0.0"
"42","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","10","|","false","true","0","0.0"
"43","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","12","|","false","true","0","0.0"
"44","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","23","|","false","true","0","0.0"
"45","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","59","|","false","true","0","0.0"
"46","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","48","|","false","true","0","0.0"
"47","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","90","|","false","true","0","0.0"
"48","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","88","|","false","true","0","0.0"
"49","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","88","|","false","true","0","0.0"
"50","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","0","|","false","true","0","0.0"
"51","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","17","|","false","true","0","0.0"
"52","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","40","|","false","true","0","0.0"
"53","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","45","|","false","true","0","0.0"
"54","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","72","|","false","true","0","0.0"
"55","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","4","|","false","true","0","0.0"
"56","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","2","|","false","true","0","0.0"
"57","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","51","|","false","true","0","0.0"
"58","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","1","|","false","true","0","0.0"
"59","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","79","|","false","true","0","0.0"
"60","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","91","|","false","true","0","0.0"
"61","locogp.SortSelection2","BRANCH","1","9","0.0","2707","93","14","9","0","14","True","13","|","false","true","0","0.0"
