"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","81","|","false","true","0","0.0"
"2","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","28","|","false","true","0","0.0"
"3","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","47","|","false","true","0","0.0"
"4","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","38","|","false","true","0","0.0"
"5","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","97","|","false","true","0","0.0"
"6","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","98","|","false","true","0","0.0"
"7","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","95","|","false","true","0","0.0"
"8","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","37","|","false","true","0","0.0"
"9","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","96","|","false","true","0","0.0"
"10","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","54","|","false","true","0","0.0"
"11","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","40","|","false","true","0","0.0"
"12","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","8","|","false","true","0","0.0"
"13","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","59","|","false","true","0","0.0"
"14","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","16","|","false","true","0","0.0"
"15","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","81","|","false","true","0","0.0"
"16","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","70","|","false","true","0","0.0"
"17","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","26","|","false","true","0","0.0"
"18","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","7","|","false","true","0","0.0"
"19","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","54","|","false","true","0","0.0"
"20","locogp.SortInsertion","BRANCH","3","15","0.0","2310","19","100","100","96","100","False","82","|","false","true","0","0.0"
"21","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","0","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:77 |","true","true","802614","79.16672"
"22","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","15","|","false","true","0","0.0"
"23","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","29","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:78 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:77:78 |","true","true","2192234","-211.01164"
"24","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","43","|","false","true","0","0.0"
"25","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","25","|","false","true","0","0.0"
"26","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","21","|","false","true","0","0.0"
"27","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","23","|","false","true","0","0.0"
"28","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","52","|","false","true","0","0.0"
"29","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","25","|","false","true","0","0.0"
"30","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","54","|","false","true","0","0.0"
"31","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","14","|","false","true","0","0.0"
"32","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","93","|","false","true","0","0.0"
"33","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","23","|","false","true","0","0.0"
"34","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","96","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:78 |","true","true","3048876","10.2211685"
"35","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","76","|","false","true","0","0.0"
"36","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","30","|","false","true","0","0.0"
"37","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","29","|","false","true","0","0.0"
"38","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","77","|","false","true","0","0.0"
"39","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","45","|","false","true","0","0.0"
"40","locogp.SortInsertion","BRANCH","2","15","0.0","2310","19","86","86","96","86","True","85","|","false","true","0","0.0"
"41","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","71","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:53 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:77:77 |","true","false","1872762","-184.93782"
"42","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","19","|","false","true","0","0.0"
"43","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","57","|","false","true","0","0.0"
"44","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","55","|","false","true","0","0.0"
"45","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","81","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:30 |","true","false","2856134","18.929377"
"46","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","64","|","false","true","0","0.0"
"47","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","41","|","false","true","0","0.0"
"48","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","85","|","false","true","0","0.0"
"49","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","31","|","false","true","0","0.0"
"50","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","67","|","false","true","0","0.0"
"51","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","45","|","false","true","0","0.0"
"52","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","85","|","false","true","0","0.0"
"53","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","18","|","false","true","0","0.0"
"54","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","1","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:30 |","true","false","780389","79.79085"
"55","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","28","|","false","true","0","0.0"
"56","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","28","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:30 -> ../examples/locoGP/src/main/java/locogp/SortInsertion.java:18 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortInsertion.java:92 |","true","false","978547","98.1246"
"57","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","54","|","false","true","0","0.0"
"58","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","85","|","false","true","0","0.0"
"59","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","47","|","false","true","0","0.0"
"60","locogp.SortInsertion","BRANCH","1","15","0.0","2310","19","14","29","7","14","True","10","|","false","true","0","0.0"
