"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1153945581","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:180 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:281 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:129 |","true","false","30298840","-150.28572"
"2","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1050926408","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:121 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302:303 |","true","true","14667040","-173.41844"
"3","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1879654491","|","false","true","0","0.0"
"4","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","1726434672","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:173 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:120:121 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:120 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 |","true","false","17056160","72.131805"
"5","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","1529986525","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:354 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:91 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:85 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:42 |","true","false","11584970","-238.45877"
"6","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","1719324001","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:354:354 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:354 |","true","true","9871140","-142.85815"
"7","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","1809542144","|","false","true","0","0.0"
"8","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-216620647","|","false","true","0","0.0"
"9","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","501234655","|","false","true","0","0.0"
"10","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","277947268","|","false","true","0","0.0"
"11","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1539216370","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:91 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:274 |","true","true","8480300","56.24683"
"12","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1490628306","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302:303 | gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:201 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302:302 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:311 |","true","false","10080460","12.174513"
"13","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","305486789","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:267 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:99 |","true","false","84186980","-3659.6396"
"14","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","1833377931","|","false","true","0","0.0"
"15","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","707579162","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:163 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:141 |","true","false","8534510","-26.605618"
"16","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1297903320","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:114 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302:303 |","true","false","5038860","17.632713"
"17","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-1687351194","|","false","true","0","0.0"
"18","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","2025537845","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:120 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 |","true","false","9889820","89.047226"
"19","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-180743656","|","false","true","0","0.0"
"20","locogp.SortHeap","BRANCH","2","13","0.0","30433","38","100","100","-294057014","|","false","true","0","0.0"
"21","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-1166257546","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:354 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:280:281 |","true","false","6407230","29.50745"
"22","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","1564841655","|","false","true","0","0.0"
"23","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-52486579","|","false","true","0","0.0"
"24","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","158885860","|","false","true","0","0.0"
"25","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-1693311323","|","false","true","0","0.0"
"26","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-1416371156","|","false","true","0","0.0"
"27","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","1951109561","|","false","true","0","0.0"
"28","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","1241693413","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:267 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:120:121 |","true","true","3852710","74.567604"
"29","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-157012269","|","false","true","0","0.0"
"30","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-862108974","|","false","true","0","0.0"
"31","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","748975349","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:267 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:113 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:311 |","true","false","4141350","97.02986"
"32","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","1939851796","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:91 |","true","true","5642660","55.82869"
"33","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-1788309840","|","false","true","0","0.0"
"34","locogp.SortHeap","BRANCH","1","13","0.0","30433","38","95","97","-359831903","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:345 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:345 |","true","true","6791920","-176.30997"
