"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:180 |","true","false","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","|","true","true","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:273 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302:303 |","true","false","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","|","true","true","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:113 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:280:281 |","true","false","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","|","true","true","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:74 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:75 |","true","false","-","-"
"1","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","25","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:74 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:75 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:195 |","true","false","22852580","3.2042344"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:323 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:173 |","true","false","-","-"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","|","true","true","-","-"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:274 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:323 |","true","false","-","-"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:274 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:323 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:114 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:295 |","true","false","-","-"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:114 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:295 |","true","true","-","-"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","|","true","true","-","-"
"2","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","44","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:91 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:141:141 |","true","false","32251220","-30.801147"
"3","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","56","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:99 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:98:98 |","true","true","-","-"
"3","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","56","|","true","true","-","-"
"3","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","56","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:324 |","true","true","9808819","82.57799"
"4","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","84","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:311 |","true","false","-","-"
"4","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","84","|","true","true","-","-"
"4","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","84","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 |","true","true","51738069","-305.01593"
"5","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","14","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:281 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 |","true","false","-","-"
"5","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","14","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:281 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:221 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 |","true","false","-","-"
"5","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","14","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:281 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 |","true","false","9530261","67.13275"
"6","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","91","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:195 |","true","false","-","-"
"6","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","91","|","true","true","-","-"
"6","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","91","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:74 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 |","true","false","19329860","29.994255"
"7","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","70","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:75 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 |","true","true","-","-"
"7","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","70","|","true","true","-","-"
"7","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","70","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:256 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172:172 |","true","true","-","-"
"7","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","70","|","true","true","-","-"
"7","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","70","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:323 |","true","false","66635000","-350.93848"
"8","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","73","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 |","true","true","-","-"
"8","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","73","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:311 |","true","true","-","-"
"8","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","73","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 |","true","true","-","-"
"8","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","73","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:274 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302 |","true","true","-","-"
"8","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","73","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 |","true","true","13653659","59.933502"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:295 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 |","true","false","-","-"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","|","true","true","-","-"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:42 |","true","true","-","-"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:42 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:324 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 |","true","false","-","-"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:324 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:66 |","true","false","-","-"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","|","true","true","-","-"
"9","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","90","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:201 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 |","true","false","9631540","63.020073"
"10","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","22","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302 |","true","true","-","-"
"10","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","22","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:121 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:121 |","true","true","28821659","-2.22183"
"11","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","80","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:98 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:141 |","true","false","-","-"
"11","locogp.SortHeap","BRANCH","3","12","8.5","36231","54","57","61","False","80","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:98 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:141 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:151 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:229 |","true","false","-","-"
