"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubbleDouble","BRANCH","3","11","0.5","15127","80","85","57","52","85","86","|","false","true","0","0.0"
"2","locogp.SortBubbleDouble","BRANCH","2","11","0.5","15127","80","54","43","24","54","37","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:51 -> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:50:51 |","true","true","1992750","61.906517"
"3","locogp.SortBubbleDouble","BRANCH","1","11","0.5","15127","80","8","7","0","8","5","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:116 |","true","true","2399840","47.031353"
"4","locogp.SortBubbleDouble","BRANCH","1","11","0.5","15127","80","8","7","0","8","87","|","false","true","0","0.0"
"5","locogp.SortBubbleDouble","BRANCH","3","13","0.5","21728","63","92","79","76","92","49","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:116 <-> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:18 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:33 -> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:34 |","true","true","3154380","43.85436"
"6","locogp.SortBubbleDouble","BRANCH","2","13","0.5","21728","63","85","57","52","85","94","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:115 -> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:34 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:76 -> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:90 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:66 -> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:158 |","true","true","10375830","20.892473"
"7","locogp.SortBubbleDouble","BRANCH","1","13","0.5","21728","63","8","7","0","8","41","|","false","true","0","0.0"
"8","locogp.SortBubbleDouble","BRANCH","1","13","0.5","21728","63","8","7","0","8","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:116 -> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:18 |","true","true","15853510","59.12214"
"9","locogp.SortBubbleDouble","LINE","3","15","1.25","16358","36","92","79","79","92","79","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:183 <-> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:18 |","true","true","110591890","63.945953"
"10","locogp.SortBubbleDouble","LINE","2","15","1.25","16358","36","38","50","52","38","76","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:101 <-> ..\examples\locoGP\src\main\java\locogp\SortBubbleDouble.java:18 |","true","true","348937370","11.014376"
