"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortQuick","BRANCH","5","29","0.0","3748","59","100","100","91","93","47","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","790826","57.057243"
"2","locogp.SortQuick","BRANCH","4","29","0.0","3748","59","93","100","81","86","58","|","false","true","0","0.0"
"3","locogp.SortQuick","BRANCH","3","29","0.0","3748","59","86","100","78","79","22","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","963299","95.54493"
"4","locogp.SortQuick","BRANCH","2","29","0.0","3748","59","21","24","7","14","2","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","1159165","4.086196"
"5","locogp.SortQuick","BRANCH","5","25","0.0","2810","8","93","100","85","86","64","|","false","true","0","0.0"
"6","locogp.SortQuick","BRANCH","4","25","0.0","2810","8","93","100","85","86","95","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","971117","30.754448"
"7","locogp.SortQuick","BRANCH","3","25","0.0","2810","8","86","100","75","79","67","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","1141014","13.141218"
"8","locogp.SortQuick","BRANCH","2","25","0.0","2810","8","79","95","75","71","69","|","false","true","0","0.0"
"9","locogp.SortQuick","LINE","3","10","0.0","3364","22","86","100","81","79","2","|","false","true","0","0.0"
"10","locogp.SortQuick","LINE","2","10","0.0","3364","22","21","19","4","14","8","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","1331317","99.22583"
"11","locogp.SortQuick","LINE","1","10","0.0","3364","22","7","5","0","7","64","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","56200070","46.932568"
"12","locogp.SortQuick","LINE","1","10","0.0","3364","22","7","5","0","7","95","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","62328057","74.15095"
"13","locogp.SortQuick","LINE","3","10","0.5","4695","67","86","100","82","79","69","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","1455716","99.58754"
"14","locogp.SortQuick","LINE","2","10","0.5","4695","67","79","95","82","71","22","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:92 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:155 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","1393895","99.257126"
"15","locogp.SortQuick","LINE","1","10","0.5","4695","67","14","19","7","7","2","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:155 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","1390099","98.91893"
"16","locogp.SortQuick","LINE","1","10","0.5","4695","67","14","19","7","7","8","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","1414783","99.43988"
"17","locogp.SortQuick","WEAKMUTATION","5","32","9.0","5841","64","86","95","92","79","95","|","false","true","0","0.0"
"18","locogp.SortQuick","WEAKMUTATION","4","32","9.0","5841","64","86","95","91","79","67","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","1286853","98.003815"
"19","locogp.SortQuick","WEAKMUTATION","3","32","9.0","5841","64","79","90","87","71","69","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","123200518","31.265259"
"20","locogp.SortQuick","WEAKMUTATION","2","32","9.0","5841","64","71","90","83","64","22","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","63107774","56.958347"
"21","locogp.SortQuick","WEAKMUTATION","4","22","9.5","7425","2","86","95","91","79","8","|","false","true","0","0.0"
"22","locogp.SortQuick","WEAKMUTATION","3","22","9.5","7425","2","86","95","90","79","64","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:61 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","124181076","27.710182"
"23","locogp.SortQuick","WEAKMUTATION","2","22","9.5","7425","2","79","95","87","71","95","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 |","true","true","1461547","98.95517"
"24","locogp.SortQuick","WEAKMUTATION","1","22","9.5","7425","2","14","14","6","7","67","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:71 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","64911738","58.336426"
"25","locogp.SortQuick","CBRANCH","4","12","1.0","6054","69","86","100","79","86","22","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","1583688","98.90311"
"26","locogp.SortQuick","CBRANCH","3","12","1.0","6054","69","21","19","6","21","2","|","false","true","0","0.0"
"27","locogp.SortQuick","CBRANCH","2","12","1.0","6054","69","21","19","6","14","8","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:111 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","1308055","99.150055"
"28","locogp.SortQuick","CBRANCH","1","12","1.0","6054","69","14","14","6","7","64","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","62043437","52.090816"
"29","locogp.SortQuick","CBRANCH","5","25","0.0","2733","95","100","100","96","100","67","|","false","true","0","0.0"
"30","locogp.SortQuick","CBRANCH","4","25","0.0","2733","95","93","95","92","93","69","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","1558265","99.27555"
"31","locogp.SortQuick","CBRANCH","3","25","0.0","2733","95","86","90","92","86","22","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","66506496","3.5126057"
"32","locogp.SortQuick","CBRANCH","2","25","0.0","2733","95","79","90","88","71","2","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","91278671","-28.258095"
"33","locogp.SortQuick","MANUAL","","0","0","0",,"93","95","97","7",,"| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortQuick.java:184 -> ../examples/locoGP/src/main/java/locogp/SortQuick.java:18 |","true","true","63272138","0.38571057"
